Colonne1;T0 vs T6L S;T0 vs T6L R;T0 vs T6D S;T0 vs T6D R;T6L vs T6D S;T6L vs T6D R
RC0G0000100;0;0;0;0;0;0
RC0G0000200;0;0;0;0;0;0
RC0G0000300;1;0;1;0;0;0
RC0G0000400;0;1;0;1;0;0
RC0G0000500;0;0;0;0;0;0
RC0G0000600;0;0;0;0;0;0
RC0G0000700;0;0;0;0;0;0
RC0G0000800;0;0;0;0;0;0
RC0G0000900;0;0;0;0;0;0
RC0G0001000;0;0;0;0;0;0
RC0G0001100;0;0;0;1;0;0
RC0G0001200;0;0;0;0;0;0
RC0G0001300;0;0;0;0;0;0
RC0G0001400;0;0;0;1;0;1
RC0G0001500;0;0;0;0;0;0
RC0G0001600;0;0;0;0;0;0
RC0G0001700;0;0;0;0;0;0
RC0G0001800;0;0;0;0;0;0
RC0G0001900;0;0;0;0;0;0
RC0G0002000;0;1;0;1;0;0
RC0G0002100;0;0;0;0;0;0
RC0G0002200;0;0;0;0;0;0
RC0G0002300;1;0;1;0;0;0
RC0G0002400;0;0;0;0;0;0
RC0G0002500;0;0;0;0;0;0
RC0G0002600;0;0;0;0;0;0
RC0G0002700;0;0;0;0;0;0
RC0G0002800;0;1;0;1;0;0
RC0G0002900;0;0;0;0;0;0
RC0G0003000;0;0;0;0;0;0
RC0G0003100;0;0;0;0;0;0
RC0G0003200;0;0;0;0;0;0
RC0G0003300;0;0;0;0;0;0
RC0G0003400;0;0;0;0;0;0
RC0G0003500;0;0;0;0;0;0
RC0G0003600;0;0;0;0;0;0
RC0G0003700;0;0;0;0;0;0
RC0G0003800;1;0;1;0;0;0
RC0G0003900;0;0;0;0;0;0
RC0G0004000;0;0;0;0;0;0
RC0G0004100;0;0;0;0;0;0
RC0G0004200;0;1;0;1;0;1
RC0G0004300;0;0;0;0;0;0
RC0G0004400;0;0;0;0;0;0
RC0G0004500;0;0;0;0;0;0
RC0G0004600;0;0;0;1;0;0
RC0G0004700;0;0;0;0;0;0
RC0G0004800;0;0;0;0;0;0
RC0G0004900;0;0;0;0;0;0
RC0G0005000;1;0;1;0;0;0
RC0G0005100;0;0;0;0;0;0
RC0G0005200;0;0;0;1;0;0
RC0G0005300;0;0;0;0;0;0
RC0G0005400;0;0;0;0;0;0
RC0G0005500;0;0;0;1;0;0
RC0G0005600;0;0;0;0;0;0
RC0G0005700;0;0;0;0;0;0
RC0G0005800;0;0;0;0;1;0
RC0G0005900;0;0;0;0;0;0
RC0G0006000;0;0;0;0;0;0
RC0G0006100;0;0;0;0;0;0
RC0G0006200;0;0;0;1;0;0
RC0G0006300;0;0;0;1;0;0
